areaid,date,avg_temp,prec
101281402	2015-06-19	21.80018	36	25	21.3	100.0	
101291603	2015-06-19	21.80018	29	19	21.3	100.0	
101210706	2015-06-19	21.80018	24	21	21.3	100.0	
101250803	2015-06-19	21.80018	27	21	21.3	100.0	
101210503	2015-06-19	21.80018	28	21	21.3	100.0	
101210107	2015-06-19	21.80018	28	19	21.3	100.0	
101220805	2015-06-19	21.80018	33	21	21.3	100.0	
101290310	2015-06-19	21.80018	26	19	21.3	100.0	
101290203	2015-06-19	21.80018	27	19	21.3	100.0	
101120603	2015-06-19	21.80018	29	18	21.3	100.0	
101200101	2015-06-19	21.80018	30	21	21.3	100.0	
101251507	2015-06-19	21.80018	25	14	21.3	100.0	
101121705	2015-06-19	21.80018	29	18	21.3	100.0	
101250105	2015-06-19	21.80018			21.3	100.0	
101240504	2015-06-19	21.80018	27	23	21.3	100.0	
101220904	2015-06-19	21.80018	33	21	21.3	100.0	
101281306	2015-06-19	21.80018	34	25	21.3	100.0	
101050404	2015-06-19	21.80018	24	17	21.3	100.0	
101121001	2015-06-19	21.80018	32	20	21.3	100.0	
101280902	2015-06-19	21.80018	37	26	21.3	100.0	
101210610	2015-06-19	21.80018	30	21	21.3	100.0	
101280305	2015-06-19	21.80018	35	25	21.3	100.0	
101200910	2015-06-19	21.80018	31	23	21.3	100.0	
101191103	2015-06-19	21.80018	30	21	21.3	100.0	
101290407	2015-06-19	21.80018	22	18	21.3	100.0	
101220605	2015-06-19	21.80018	30	22	21.3	100.0	
101211004	2015-06-19	21.80018	27	20	21.3	100.0	
101290904	2015-06-19	21.80018	30	21	21.3	100.0	
101250408	2015-06-19	21.80018	26	22	21.3	100.0	
101050305	2015-06-19	21.80018	23	13	21.3	100.0	
101280407	2015-06-19	21.80018	35	25	21.3	100.0	
101200507	2015-06-19	21.80018	29	22	21.3	100.0	
101221406	2015-06-19	21.80018	29	20	21.3	100.0	
101210704	2015-06-19	21.80018	26	22	21.3	100.0	
101210708	2015-06-19	21.80018	26	21	21.3	100.0	
101050604	2015-06-19	21.80018	32	15	21.3	100.0	
101250403	2015-06-19	21.80018	26	22	21.3	100.0	
101210302	2015-06-19	21.80018	27	20	21.3	100.0	
101290208	2015-06-19	21.80018	26	18	21.3	100.0	
101291605	2015-06-19	21.80018	32	22	21.3	100.0	
101221505	2015-06-19	21.80018	30	22	21.3	100.0	
101240606	2015-06-19	21.80018	27	23	21.3	100.0	
101201102	2015-06-19	21.80018	31	19	21.3	100.0	
101121104	2015-06-19	21.80018	25	15	21.3	100.0	
101290106	2015-06-19	21.80018	25	19	21.3	100.0	
101220101	2015-06-19	21.80018	30	21	21.3	100.0	
101050902	2015-06-19	21.80018	28	17	21.3	100.0	
101221007	2015-06-19	21.80018	29	21	21.3	100.0	
101191003	2015-06-19	21.80018	29	19	21.3	100.0	
