101020500,2015-6-17,1846
101020600,2015-6-17,1709
101020700,2015-6-17,1746
101020800,2015-6-17,1736
101020900,2015-6-17,1781
101021000,2015-6-17,1666
101021100,2015-6-17,1584
101040100,2015-6-17,2600
101040200,2015-6-17,2430
101040300,2015-6-17,2261
101040400,2015-6-17,2057
101040500,2015-6-17,2591
101040600,2015-6-17,2105
101040700,2015-6-17,2304
101040800,2015-6-17,2415
101040900,2015-6-17,2169
101041000,2015-6-17,2477
101041100,2015-6-17,1625
101041300,2015-6-17,2448
101041400,2015-6-17,2265
101041500,2015-6-17,2410
101041600,2015-6-17,1575
101041700,2015-6-17,2384
101041800,2015-6-17,2047
101041900,2015-6-17,2567
101042000,2015-6-17,1886
101042100,2015-6-17,2351
101042200,2015-6-17,2213
101042300,2015-6-17,2039
101042400,2015-6-17,2346
101042500,2015-6-17,1940
101042600,2015-6-17,2234
101042700,2015-6-17,2378
101042800,2015-6-17,2394
101042900,2015-6-17,2463
101043000,2015-6-17,2500
101043100,2015-6-17,2336
101043200,2015-6-17,2268
101043300,2015-6-17,2340
101043400,2015-6-17,1624
101043600,2015-6-17,2098
101060101,2015-6-17,1050
101060102,2015-6-17,1009
101060103,2015-6-17,993
101060104,2015-6-17,1015
101060105,2015-6-17,938
101060106,2015-6-17,1070
101060201,2015-6-17,1049
101060202,2015-6-17,914
101060203,2015-6-17,1008
101060204,2015-6-17,857
101060205,2015-6-17,922
101060206,2015-6-17,894
101060301,2015-6-17,945
101060302,2015-6-17,775
101060303,2015-6-17,782
101060304,2015-6-17,790
101060305,2015-6-17,956
101060307,2015-6-17,981
101060308,2015-6-17,828
101060309,2015-6-17,863
101060401,2015-6-17,1107
101060402,2015-6-17,1104
101060403,2015-6-17,1112
101060404,2015-6-17,1086
101060405,2015-6-17,1035
101060501,2015-6-17,920
101060502,2015-6-17,1010
101060503,2015-6-17,971
101060504,2015-6-17,903
101060505,2015-6-17,977
101060506,2015-6-17,760
101060601,2015-6-17,976
101060602,2015-6-17,998
101060603,2015-6-17,944
101060604,2015-6-17,953
101060605,2015-6-17,1034
101060701,2015-6-17,1010
101060702,2015-6-17,914
101060703,2015-6-17,1010
101060801,2015-6-17,1010
101060802,2015-6-17,1002
101060803,2015-6-17,1021
101060804,2015-6-17,1077
101060805,2015-6-17,942
101060901,2015-6-17,748
101060902,2015-6-17,732
101060903,2015-6-17,847
101060904,2015-6-17,704
101060905,2015-6-17,630
101060906,2015-6-17,748
101060907,2015-6-17,748
101070101,2015-6-17,1179
101070103,2015-6-17,1221
101070104,2015-6-17,1147
101070105,2015-6-17,1124
101070106,2015-6-17,1156
101070201,2015-6-17,1186
101070202,2015-6-17,1155
101070203,2015-6-17,1145
101070204,2015-6-17,1161
101070205,2015-6-17,1055
101070206,2015-6-17,949
101070207,2015-6-17,1045
101070301,2015-6-17,1342
101070302,2015-6-17,1199
101070303,2015-6-17,980
101070304,2015-6-17,1277
101070401,2015-6-17,831
101070402,2015-6-17,831
101070403,2015-6-17,901
101070404,2015-6-17,1018
101070501,2015-6-17,1139
101070502,2015-6-17,1008
101070504,2015-6-17,952
101070601,2015-6-17,983
101070602,2015-6-17,1033
101070603,2015-6-17,926
101070604,2015-6-17,1036
101070701,2015-6-17,1216
101070702,2015-6-17,1129
101070704,2015-6-17,1142
101070705,2015-6-17,1135
101070706,2015-6-17,1150
101070801,2015-6-17,1131
101070802,2015-6-17,1159
101070803,2015-6-17,1276
101070901,2015-6-17,1185
101070902,2015-6-17,1133
101071001,2015-6-17,1287
101071002,2015-6-17,1328
101071003,2015-6-17,1196
101071004,2015-6-17,1287
101071101,2015-6-17,1202
101071102,2015-6-17,1155
101071103,2015-6-17,1129
101071104,2015-6-17,927
101071105,2015-6-17,1202
101010300,2015-6-17,1658
101071203,2015-6-17,1193
101071204,2015-6-17,1282
101071205,2015-6-17,1258
101071207,2015-6-17,1157
101071301,2015-6-17,1143
101071302,2015-6-17,1125
101071303,2015-6-17,1143
101071401,2015-6-17,1111
101071402,2015-6-17,1224
101071403,2015-6-17,1163
101071404,2015-6-17,1113
101080904,2015-6-17,690
101080603,2015-6-17,1067
101080614,2015-6-17,1072
101081003,2015-6-17,795
101080202,2015-6-17,629
101080201,2015-6-17,1117
101080410,2015-6-17,732
101080408,2015-6-17,861
101080409,2015-6-17,490
101081007,2015-6-17,635
101080601,2015-6-17,1089
101080703,2015-6-17,1170
101080206,2015-6-17,810
101080803,2015-6-17,1267
101080713,2015-6-17,907
101080909,2015-6-17,738
101080915,2015-6-17,670
101080701,2015-6-17,907
101081014,2015-6-17,617
101081203,2015-6-17,1420
101081005,2015-6-17,578
101080705,2015-6-17,1116
101080903,2015-6-17,894
101080708,2015-6-17,996
101081006,2015-6-17,620
101080205,2015-6-17,891
101081001,2015-6-17,611
101080808,2015-6-17,912
101080810,2015-6-17,1119
101080709,2015-6-17,922
101080604,2015-6-17,817
101080104,2015-6-17,1047
101080706,2015-6-17,1090
101080403,2015-6-17,653
101081104,2015-6-17,862
101080101,2015-6-17,967
101081108,2015-6-17,675
101080106,2015-6-17,1054
101081205,2015-6-17,1280
101080401,2015-6-17,732
101080506,2015-6-17,1153
101080407,2015-6-17,884
101080801,2015-6-17,1140
101080607,2015-6-17,846
101081010,2015-6-17,599
101080613,2015-6-17,1118
101081209,2015-6-17,1117
101080105,2015-6-17,978
101080404,2015-6-17,692
101080411,2015-6-17,675
101081106,2015-6-17,755
101080907,2015-6-17,890
101080906,2015-6-17,803
101080911,2015-6-17,568
101080501,2015-6-17,1144
101081207,2015-6-17,1219
101081016,2015-6-17,382
101080204,2015-6-17,1205
101080102,2015-6-17,1128
101080609,2015-6-17,1086
101080107,2015-6-17,622
101080301,2015-6-17,1337
101080802,2015-6-17,1077
101080806,2015-6-17,948
101081206,2015-6-17,1204
101080901,2015-6-17,754
101080406,2015-6-17,830
101081009,2015-6-17,706
101081008,2015-6-17,624
101080910,2015-6-17,694
101081011,2015-6-17,540
101081105,2015-6-17,939
101080914,2015-6-17,653
101080913,2015-6-17,640
101080402,2015-6-17,682
101090101,2015-6-17,1791
101090102,2015-6-17,1711
101090103,2015-6-17,1825
101090104,2015-6-17,1746
101090105,2015-6-17,1590
101090106,2015-6-17,1750
101090107,2015-6-17,1597
101090108,2015-6-17,1654
101090109,2015-6-17,1799
101090110,2015-6-17,1751
101090111,2015-6-17,1746
101090112,2015-6-17,1579
101090113,2015-6-17,1598
101090114,2015-6-17,1746
101090115,2015-6-17,1744
101090116,2015-6-17,1777
101090117,2015-6-17,1762
101090118,2015-6-17,1791
101090201,2015-6-17,1591
101090202,2015-6-17,1688
101090203,2015-6-17,1645
101090204,2015-6-17,1575
101090205,2015-6-17,1713
101090206,2015-6-17,1625
101090207,2015-6-17,1622
101090209,2015-6-17,1073
101090210,2015-6-17,1648
101090211,2015-6-17,1637
