areaid	FORECAST_TIME	day_rehumidity	night_rehumidity
101220301	2015-06-20 19:00:00	69	87
101220301	2015-06-21 19:00:00	85	91
101220301	2015-06-22 19:00:00	82	93
101220301	2015-06-23 19:00:00	82	93
101220301	2015-06-24 19:00:00	81	96
101220301	2015-06-25 19:00:00	88	99
101220301	2015-06-26 19:00:00	90	98
101220301	2015-06-27 19:00:00	92	99
101220301	2015-06-28 19:00:00	95	98
101240408	2015-06-19 19:00:00	88	95
101240408	2015-06-20 19:00:00	82	94
101240408	2015-06-21 19:00:00	79	91
101240408	2015-06-22 19:00:00	77	93
101240408	2015-06-23 19:00:00	71	84
101240408	2015-06-24 19:00:00	71	86
101240408	2015-06-25 19:00:00	73	85
101240408	2015-06-26 19:00:00	75	85
101240408	2015-06-27 19:00:00	72	84
101240408	2015-06-28 19:00:00	75	88
101290505	2015-06-19 19:00:00	76	90
101290505	2015-06-20 19:00:00	73	87
101290505	2015-06-21 19:00:00	73	87
101290505	2015-06-22 19:00:00	79	89
101290505	2015-06-23 19:00:00	78	88
101290505	2015-06-24 19:00:00	76	88
101290505	2015-06-25 19:00:00	75	88
101290505	2015-06-26 19:00:00	78	89
101290505	2015-06-27 19:00:00	81	90
101290505	2015-06-28 19:00:00	81	89
101120105	2015-06-19 19:00:00	63	80
101120105	2015-06-20 19:00:00	47	65
101120105	2015-06-21 19:00:00	43	71
101120105	2015-06-22 19:00:00	47	68
101120105	2015-06-23 19:00:00	54	76
101120105	2015-06-24 19:00:00	59	85
101120105	2015-06-25 19:00:00	63	88
101120105	2015-06-26 19:00:00	67	87
101120105	2015-06-27 19:00:00	64	89
101120105	2015-06-28 19:00:00	60	82
101180105	2015-06-19 19:00:00	43	64
101180105	2015-06-20 19:00:00	46	56
101180105	2015-06-21 19:00:00	47	64
101180105	2015-06-22 19:00:00	46	64
101180105	2015-06-23 19:00:00	74	92
101180105	2015-06-24 19:00:00	81	92
101180105	2015-06-25 19:00:00	72	94
101180105	2015-06-26 19:00:00	67	88
101180105	2015-06-27 19:00:00	74	93
101180105	2015-06-28 19:00:00	71	85
101050305	2015-06-19 19:00:00	66	92
101050305	2015-06-20 19:00:00	75	96
101050305	2015-06-21 19:00:00	65	97
101050305	2015-06-22 19:00:00	64	96
101050305	2015-06-23 19:00:00	69	98
101050305	2015-06-24 19:00:00	70	96
101050305	2015-06-25 19:00:00	69	93
101050305	2015-06-26 19:00:00	67	91
101050305	2015-06-27 19:00:00	65	91
101050305	2015-06-28 19:00:00	65	87
101220608	2015-06-19 19:00:00	62	85
101220608	2015-06-20 19:00:00	61	82
101220608	2015-06-21 19:00:00	80	88
101220608	2015-06-22 19:00:00	77	91
101220608	2015-06-23 19:00:00	81	92
101220608	2015-06-24 19:00:00	79	93
101220608	2015-06-25 19:00:00	87	97
101220608	2015-06-26 19:00:00	90	99
101220608	2015-06-27 19:00:00	89	100
101220608	2015-06-28 19:00:00	93	99
101110605	2015-06-19 19:00:00	67	84
101110605	2015-06-20 19:00:00	81	92
101110605	2015-06-21 19:00:00	76	93
101110605	2015-06-22 19:00:00	73	92
101110605	2015-06-23 19:00:00	90	95
101110605	2015-06-24 19:00:00	84	96
101110605	2015-06-25 19:00:00	81	97
101110605	2015-06-26 19:00:00	83	98
101110605	2015-06-27 19:00:00	80	95
101110605	2015-06-28 19:00:00	85	95
101110406	2015-06-19 19:00:00	20	32
101110406	2015-06-20 19:00:00	49	90
101110406	2015-06-21 19:00:00	59	86
101110406	2015-06-22 19:00:00	54	75
101110406	2015-06-23 19:00:00	74	90
101110406	2015-06-24 19:00:00	65	83
101110406	2015-06-25 19:00:00	55	80
101110406	2015-06-26 19:00:00	52	75
101110406	2015-06-27 19:00:00	50	74
101110406	2015-06-28 19:00:00	53	71
101250806	2015-06-19 19:00:00	74	92
101250806	2015-06-20 19:00:00	82	97
101250806	2015-06-21 19:00:00	92	97
101250806	2015-06-22 19:00:00	86	95
101250806	2015-06-23 19:00:00	79	91
101250806	2015-06-24 19:00:00	80	94
101250806	2015-06-25 19:00:00	89	96
101250806	2015-06-26 19:00:00	84	95
101250806	2015-06-27 19:00:00	80	94
101250806	2015-06-28 19:00:00	81	96
101050705	2015-06-19 19:00:00	35	66
