DisasterID,Type,Name,Alias,Locations,Crops,GrowingStages,Severity,CommonImpactonYield,MaxImpactonYield,PreventionorRemedy,IndvidualorGroup,ImpactedArea,Color,Shape,discription
39,2,大螟,稻蛀茎夜蛾、紫螟,1，2，3,水稻,10~15,XXX,,,,,3，4,受害稻茎的叶片、叶鞘部都变为黄色,蛀孔大、孔外虫粪多，且大部分不在稻茎内，多夹在叶鞘和茎秆之间,
40,2,稻纵卷叶螟,卷叶虫、白叶虫、刮叶虫、苞叶虫等,1，2，3,水稻,10~19,XXXXX,,,,,4,,幼虫吐丝纵卷水稻叶片，藏匿其中取食叶肉，仅留表皮，形成白色条斑，严重时整田枯白。虫苞是叶丝缀合两边的叶缘，向正面纵卷成筒状，也有少数将叶尖折向正面或只卷一边叶缘的。,
41,2,稻水象甲,稻水象、美洲稻象甲、伪稻水象,2，3,水稻,10~15,XXX,,,,,1，4,,成虫食害叶片，幼虫破坏根系，为害根部呈孔洞，使植株黄化枯萎。,
42,2,黑尾叶蝉,黑尾浮尘子,2，3,水稻,4~19,XXXX,,,,,2，4，5,棕褐色斑点,主要群集水稻茎秆基部，用针状口器刺吸营养液，破坏输导组织，呈现许多棕褐色斑点，影响稻株正常生长，严重时稻茎基部变黑，后期烂秆倒伏。,
43,2,稻象甲,稻鼻虫、稻象虫，俗称钩鼻子虫,2，3,水稻,10~15,XXX,,,,,1，3，4,,幼虫在土中食害稻根，致稻株变黄，严重时整株枯死。成虫咬食稻苗近水面的心叶，受害叶长出后，出现一行横排小孔，遇风折断浮在水面上。,
44,2,长翅稻蝗,蚂蚱，蚱蜢,2，3,水稻,10~15,XXX,,,,,4，5,,严重时叶片被食光，只留着一束束中肋。山区的中晚稻田常有此现象。,
45,2,水稻中华稻蝗,蚂蚱，蚱蜢,2，3,水稻,10~15,XXX,,,,,4，5,,成、若虫食叶成缺刻，严重时全叶被吃光，仅残留叶脉。,
46,2,粘虫,粟夜盗虫、剃枝虫,1，2，3,水稻,10~15,XXX,,,,,3，4,,幼虫食叶，大发生时可将作物叶片全部食光，造成严重损失。,
47,2,褐飞虱,褐稻虱,1，2，3,水稻,10~19,XXX,,,,,3，4,,成、若虫群集于稻丛下部刺吸汁液。为害状俗称“冒穿”、“透顶”或“塌圈”。,
48,2,稻管蓟马,薏苡蓟马,1，2，3,水稻,16,XXX,,,,,3，4，5,微细黄白色斑,叶尖两边向内卷折，渐及全叶卷缩枯黄,
49,2,水稻大绿蝽,角肩蝽象、角肩蝽、长吻蝽、棱蝽,2，3,水稻,4~16,XXX,,,,,3，4，5,,成、若虫吸食稻株汁液，秧苗受害，有如火烧状焦萎；分蘖期受害，造成枯心死苗；抽穗期受害，造成秕谷或白穗。,
50,3,稗草,芒早稗、水田草、水稗草,1，2，3,水稻,,XXXXX,,,,,,草害 属禾本科一年生草本植物,秆丛生，基部膝曲或直立，株高50-130cm。叶片条形，无毛；叶鞘光滑无叶舌。圆锥花序稍开展，直立或弯曲；总状花序常有分枝，斜上或贴生；小穗有2个卵圆形的花，长约3mm，具硬疣毛，密集在穗轴的一侧；颖有3-5脉；第一外稃有5-7脉，先端具5-30mm的芒；第二外稃先端具小尖头，粗糙，边缘卷孢内样。颖果米黄色卵形。种子繁殖。种子卵状，椭圆形，黄褐色。,
51,5,藜,,1，2，3,水稻,,XXX,,,,,,,全草黄绿色。茎具条棱。叶片皱缩破碎，完整者展平，呈菱状卵形至宽披针形，叶上表面黄绿色，下表面灰黄绿色，被粉粒，边缘具不整齐锯齿；叶柄长约3cm。圆锥花序腋生或顶生。,
52,5,空心莲子草,,1，2，3,水稻,,XXX,,,,,,草害 属觅科多年生草本植物,茎基部匍匐或全株偃卧，上部上升、着地或水面生根，中空具分枝。叶对生，有短柄，叶片长椭圆形至倒卵状披针形，先端圆钝，有尖头，基部渐窄，全缘，有睫毛。花序头状单生在叶腋处。花白色，具5片花被。,
53,6,矮慈姑,,1，2，3,水稻,,XXX,,,,,,,一年生，稀多年生沼生或沉水草本。有时具短根状茎；匍匐茎短细，根状，末端的芽几乎不膨大，通常当年萌发形成新株，稀有越冬者。叶条形，稀披针形，长2-30厘米，宽0.2-1厘米，光滑，先端渐尖，或稍钝，基部鞘状，通常具横脉。花葶高5-35厘米，直立，通常挺水。,
